freqs,wHm,wLm
0.00213958887134342,0.00784061763547129,281440623262464
0.00215443469003188,0.00783826935014275,9.00719925474099e+15
0.00216938351838518,0.00783588528345153,Inf
0.00218443607114943,0.007833464873671,281337638338630
0.00219959306803007,0.00783100755046853,281337638338630
0.00221485523372636,0.00782851273480732,9.00719925474099e+15
0.00223022329796594,0.00782597983884949,281474976710656
0.00224569799553977,0.00782340826586055,281474976710656
0.00226128006633728,0.00782079741011537,281440623262464
0.00227697025538168,0.00781814665680595,Inf
0.00229276931286565,0.00781545538195113,9.00719925474099e+15
0.00230867799418717,0.00781272295230853,281337638338630
0.00232469705998565,0.00780994872528886,9.00719925474099e+15
0.00234082727617829,0.00780713204887297,1.8014398509482e+16
0.00235706941399673,0.00780427226153187,281337638338630
0.00237342425002387,0.00780136869214987,281474976710656
